"age","sex","parent","disabled","uses.lib","ses","raceth","educ","rurality"
16,"male","not parent","no","yes","medium","Non-Hispanic White","< HS","rural"
40,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
58,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
40,"female","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
65,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
53,"female","not parent","yes","yes","medium","Hispanic","Four-year degree or more","suburban"
62,"female","not parent","no","yes","medium","Hispanic","HS to 2-year degree","urban"
48,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
60,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
31,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
47,"female","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
45,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
58,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
51,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
26,"male","parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
72,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
64,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
18,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
33,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
17,"female","not parent","no","yes","medium","Hispanic","HS to 2-year degree","urban"
62,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
62,"female","not parent","no","no","medium","Hispanic","HS to 2-year degree","urban"
44,"male","parent","no","yes","high",NA,"Four-year degree or more","suburban"
44,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
52,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
64,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
55,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
45,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
16,"male","not parent","no","no","medium","Non-Hispanic Black","< HS","rural"
52,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
23,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
48,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
45,"female","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
63,"male","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
66,"female","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","urban"
67,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
30,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
23,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
18,"male","not parent","no","no","high","Non-Hispanic White","< HS","rural"
60,"male","not parent","no","no","medium",NA,"HS to 2-year degree","rural"
66,"male","not parent","no","no","low","Non-Hispanic White","< HS","rural"
59,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
79,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
54,"female","parent","no","no","high","Non-Hispanic White","HS to 2-year degree","rural"
23,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
29,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
20,"female","parent","no","yes","medium",NA,"HS to 2-year degree","rural"
26,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
20,"male","not parent","no","yes","high","Non-Hispanic White","HS to 2-year degree","urban"
45,"female","parent","no","no","low","Hispanic","< HS","rural"
34,"male","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
33,"female","parent","no","no","medium","Hispanic","< HS",NA
23,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","yes","no","low","Non-Hispanic White","Four-year degree or more","urban"
54,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
85,"male","not parent","no","no","medium","Non-Hispanic White","< HS","urban"
50,"female","not parent","no","no","low","Hispanic","HS to 2-year degree","rural"
22,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
58,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
16,"female","parent","no","no","medium","Hispanic","HS to 2-year degree","urban"
49,"female","not parent","yes","yes","low","Non-Hispanic White","Four-year degree or more","rural"
53,"male","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
61,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
55,"female","not parent","yes","yes","medium","Hispanic","HS to 2-year degree","urban"
47,"male","not parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
68,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
51,"male","parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
20,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
40,"male","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
37,"male","parent","yes","no","low","Hispanic","HS to 2-year degree","urban"
27,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
21,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
29,"male","parent","no","yes","low","Non-Hispanic White","< HS","rural"
70,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
59,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
61,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
41,"male","parent","no","yes","medium",NA,"Four-year degree or more","suburban"
27,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
29,"male","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
60,"female","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
30,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
67,"male","not parent","no","no","low","Non-Hispanic Black","< HS","rural"
58,"female","not parent","yes","yes","low","Non-Hispanic Black","< HS","urban"
54,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
64,"female","not parent","yes","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
56,"female","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
52,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
31,"female","parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
79,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
46,"female","not parent","yes","yes","low","Non-Hispanic Black","HS to 2-year degree","urban"
60,"male","not parent","no","no","high","Non-Hispanic Black","Four-year degree or more","rural"
34,"female","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
48,"male","not parent","no","yes","low","Non-Hispanic Black","HS to 2-year degree","rural"
57,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
63,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
30,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
24,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
30,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
53,"male","parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
40,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
22,"male","not parent","no","yes","low","Hispanic","HS to 2-year degree","suburban"
34,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
21,"male","not parent","no","no","low","Hispanic","HS to 2-year degree","rural"
38,"female","parent","no","no","low",NA,"Four-year degree or more","urban"
53,"male","parent","no","no","medium",NA,"HS to 2-year degree","rural"
69,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
51,"male","parent","no","no","low",NA,"HS to 2-year degree","urban"
46,"female","parent",NA,"yes","high",NA,"Four-year degree or more","rural"
30,"female","parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","urban"
35,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
62,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
59,"male","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
49,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
68,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
57,"female","not parent","no","yes","low","Non-Hispanic White","< HS","rural"
16,"female","not parent","no","yes","medium","Hispanic","< HS","suburban"
47,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
58,"male","not parent","no","yes","low","Hispanic","HS to 2-year degree","urban"
52,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
61,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
23,"female","not parent","no","yes","medium",NA,"Four-year degree or more","urban"
20,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","urban"
46,"male","parent","no","no","high","Hispanic","HS to 2-year degree","suburban"
72,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
59,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
24,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
63,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"female","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
71,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
36,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
21,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
38,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
37,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
51,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
26,"male","parent","no","no","low","Non-Hispanic White","HS to 2-year degree","urban"
30,"female","parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","rural"
19,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
17,"male","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
24,"male","not parent","no","no","medium",NA,"HS to 2-year degree","urban"
23,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
19,"female","not parent","no","yes","high","Non-Hispanic White","HS to 2-year degree","rural"
42,"male","not parent","no","no","low","Hispanic","< HS","rural"
53,"female","not parent","yes","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
66,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
52,"male","parent","no","yes","medium","Hispanic","HS to 2-year degree","urban"
43,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
49,"female","not parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
67,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
58,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
35,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
45,"female","parent","no","yes","low",NA,"HS to 2-year degree","urban"
17,"male","not parent","no","yes","medium","Non-Hispanic Black","< HS","suburban"
26,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
54,"male","not parent","yes","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
48,"male","not parent","yes","no","low","Non-Hispanic Black","< HS","rural"
69,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
55,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
31,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
49,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
41,"female","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
75,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
35,"female","parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
67,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","urban"
70,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
50,"male","parent","no","no","medium","Hispanic","< HS","rural"
59,"male","not parent","yes","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
62,"male","parent","no","no","medium","Non-Hispanic White","< HS","urban"
52,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
24,"male","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
30,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
21,"female","not parent","no","yes","medium",NA,"HS to 2-year degree","suburban"
47,"female","parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
76,"male","not parent","yes","no","high","Non-Hispanic White","HS to 2-year degree","rural"
41,"female","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","suburban"
58,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
19,"female","parent","no","no","medium","Hispanic","< HS",NA
49,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
89,"male","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
51,"male","parent","no","yes","high","Non-Hispanic Black","HS to 2-year degree","urban"
62,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
75,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
42,"female","not parent","no","no","medium",NA,"HS to 2-year degree","urban"
49,"female","parent","no","yes","low","Hispanic","< HS","rural"
54,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree",NA
73,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","yes","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
71,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
28,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
18,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
55,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
30,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
20,"female","not parent","no","no","medium",NA,"HS to 2-year degree","rural"
60,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
54,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
24,"female","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
17,"male","not parent","no","yes","high",NA,"< HS","urban"
80,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
33,"female","not parent","no","no","low","Hispanic","Four-year degree or more","rural"
68,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
59,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
77,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
21,"female","parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","suburban"
19,"female","not parent","no","no","low","Hispanic","HS to 2-year degree","suburban"
46,"male","not parent","no","yes","medium",NA,"Four-year degree or more","suburban"
62,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
34,"female","parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","urban"
57,"female","not parent","yes","no","medium","Hispanic","HS to 2-year degree","urban"
67,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
40,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
23,"female","parent","no","yes","medium","Hispanic","HS to 2-year degree","urban"
16,"female","not parent","yes","yes","medium","Non-Hispanic White","< HS","rural"
30,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
22,"female","not parent","no","yes","low","Non-Hispanic Black","HS to 2-year degree","suburban"
48,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
22,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
59,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
54,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
55,"female","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","suburban"
36,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
68,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
84,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
66,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
21,"male","not parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
63,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
60,"male","not parent","no","no","medium","Hispanic","< HS","suburban"
44,"male","not parent","no","no","medium","Non-Hispanic Black","Four-year degree or more","urban"
57,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","urban"
30,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
52,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
71,"female","not parent","yes","yes","low","Hispanic","HS to 2-year degree","urban"
26,"female","parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
39,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
36,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
20,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
39,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
34,"male","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
39,"male","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
21,"female","not parent","no","yes","medium",NA,"Four-year degree or more","urban"
22,"female","parent","no","yes","low","Hispanic","< HS","rural"
64,"male","not parent","yes","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
42,"female","not parent","yes","no","low","Non-Hispanic Black","< HS","urban"
53,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
67,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
77,"male","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
30,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
47,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
61,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
36,"male","parent","yes","no","low","Non-Hispanic Black","< HS","rural"
53,"female","not parent","no","no","medium","Non-Hispanic White","< HS","urban"
36,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
20,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
20,"female","not parent","no","yes","low","Non-Hispanic Black","HS to 2-year degree","rural"
23,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
21,"male","not parent","no","no","low","Hispanic","HS to 2-year degree","rural"
85,"male","not parent","yes","yes","medium","Non-Hispanic White","< HS","rural"
55,"female","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
56,"male","not parent","no","no","medium",NA,"HS to 2-year degree","suburban"
61,"female","not parent","no","yes","medium",NA,"HS to 2-year degree","rural"
27,"female","not parent","no","yes","low",NA,"HS to 2-year degree","rural"
38,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
49,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
48,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
47,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
44,"female","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","suburban"
32,"male","parent","no","yes","medium",NA,"Four-year degree or more","urban"
68,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
55,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
NA,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
77,"male","not parent","no","no","low","Hispanic","HS to 2-year degree","rural"
63,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
21,"female","not parent","no","no","low",NA,"HS to 2-year degree","rural"
68,"female","not parent","yes","no","medium",NA,"Four-year degree or more","suburban"
18,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","rural"
40,"male","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
72,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
28,"male","not parent","no","no","medium","Hispanic","Four-year degree or more","rural"
36,"female","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
25,"male","not parent","yes","no","medium","Hispanic","HS to 2-year degree","rural"
42,"female","parent","no","yes","medium",NA,"Four-year degree or more","urban"
47,"female","not parent","yes","yes","low","Non-Hispanic Black","HS to 2-year degree","rural"
61,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
63,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
89,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
25,"male","not parent","no","no","medium",NA,"HS to 2-year degree","suburban"
62,"male","not parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
38,"female","parent","no","yes","medium",NA,"Four-year degree or more","rural"
25,"male","not parent","no","no","low","Non-Hispanic Black","Four-year degree or more","suburban"
75,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
55,"male","parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
63,"female","not parent","no","no","medium","Hispanic","HS to 2-year degree","urban"
NA,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
63,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
16,"male","not parent","no","yes","low","Non-Hispanic White","< HS","urban"
51,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
52,"female","not parent","yes","no","low","Non-Hispanic White","< HS","rural"
60,"female","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
55,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
75,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
78,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
54,"female","parent","yes","yes","low","Hispanic","< HS","urban"
18,"male","not parent","no","yes","low","Non-Hispanic Black","HS to 2-year degree","rural"
43,"male","not parent","yes","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
66,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
62,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
73,"female","not parent","no","no","low","Hispanic","< HS","urban"
55,"male","parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
57,"male","parent","yes","no","medium","Hispanic","< HS","urban"
55,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
24,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
25,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
61,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","urban"
56,"male","not parent","no","no","medium",NA,"Four-year degree or more","rural"
24,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
17,"female","not parent","no","no","medium","Hispanic","< HS","rural"
53,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"female","not parent","yes","no","medium","Hispanic","HS to 2-year degree","urban"
16,"male","not parent","no","no","medium","Hispanic","< HS","urban"
34,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
22,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
66,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
63,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","suburban"
60,"male","not parent","no","yes","low","Non-Hispanic Black","HS to 2-year degree","rural"
21,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
21,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
67,"female","not parent","no","yes","medium",NA,"Four-year degree or more","rural"
45,"female","parent","yes","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
38,"male","parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
54,"male","not parent","yes","yes","low",NA,"HS to 2-year degree","rural"
65,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
29,"male","not parent","no","no","high",NA,"Four-year degree or more","suburban"
18,"female","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
31,"male","parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
NA,"male","not parent","yes","yes","medium",NA,"Four-year degree or more","suburban"
54,"female","not parent","yes","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
53,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
65,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
36,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
17,"female","parent","no","no","low","Non-Hispanic White","< HS","suburban"
62,"male","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
42,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
31,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
37,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
54,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
37,"female","parent","no","yes","medium",NA,"Four-year degree or more","urban"
26,"female","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
64,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
74,"male","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
17,"male","not parent","no","no","medium","Hispanic","< HS","suburban"
21,"female","not parent","no","yes","high","Non-Hispanic White","HS to 2-year degree","urban"
27,"male","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
63,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
54,"male","not parent",NA,"no","low","Non-Hispanic White","HS to 2-year degree","rural"
39,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
32,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
43,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
45,"female","parent","no","yes","medium","Hispanic","< HS","rural"
